充电有点烫,rel
用了三天来评价,irr
上网还可以,rel
就是用一会手机发烫,rel
不知道是怎么回事,irr
可以可以不错不错,irr
最便宜的苹果了,rel
拿在手里刚刚好,rel
比较好看的苹果机型作为备用机还是很不错的,rel
挺好的,irr
留个纪念也好,irr
能激活,rel
小小的,rel
手感不错,rel
支持刘哥,irr
支持我们宿迁,irr
物流非常快东西非常好,irr
手机电池不耐用,rel
而且发热厉害,rel
不知道是不是正品,irr
还是可以,irr
价格很便宜,rel
手机很好用,rel
大小正合适,rel
单手拿很舒服,rel
不像大屏手机不好拿,irr
我妈非常满意,irr
有回音不知道咋回事,rel
还行,irr
不想多说,irr
东西不如去实体店买,irr
替朋友买的,irr
朋友觉得还行,irr
挺好的,irr
反应快,rel
当备用机,rel
好像这款又降价了,irr
买贵了,irr
感觉总体还行,rel
也会出现卡顿,rel
比想象中的要差了点,rel
没有说明书还不太会深用,irr
很好很好很好,irr
小巧精致,rel
用来用去还是苹果好用,rel
买来保卡的备用机,irr
就是看中系统好用,rel
不错全新,irr
未激活保修365天,irr
还不错,irr
我买了两次了,rel
哈哈哈哈哈笑,irr
东西不错很喜欢,rel
快递很快,irr
最便宜苹果了,rel
系统不卡,rel
屏幕大小合适,rel
放口袋很方便,rel
质量很好,rel
很好,irr
用了一星期了,irr
质量不错,rel
物流很给力,irr
京东出品必属精品,irr
东西真的很好,rel
用着不卡,rel
好用,rel
老妈很喜欢性价比很好,rel
是原装机,irr
未激活的,irr
这个价钱也值了,irr
手机还可以吧,rel
帮家里老人买的所以不用太好,irr
物流配送很棒,irr
宝贝刚到手还不好说,irr
目前只发现充电发热情况严重,rel
现在买性价比超高,rel
小屏手机这样配置以后见不到了,rel
顺便收藏,irr
用了一段时间,irr
各方面都不错,rel
给同学买的,irr
用着没问题,rel
点击右下角的+,irr
可以添加常用短语,irr
京东购物一如既往地好,irr
物流速度很快,irr
送货上门,irr
给朋友买的,irr
朋友喜欢,irr
应该是正品,irr
很好很好很好,irr
很好用,rel
发货快,irr
隔天就到,irr
好用,rel
流畅,rel
电池也没有评论里说的那么不耐用,rel
我很满意,rel
不错,irr
但是应该是翻的机子因为拿到手开不了机要充电很久才开机,rel
第二就是里面的说明书等像是被动过的,irr
不过还算是很快,irr
好评,irr
经查寻未激活,irr
小巧可爱,rel
不错,rel
给妈妈用的,irr
帮爸爸买的,irr
苹果手机性价比很高,rel
价格非常实惠,rel
送货很快,irr
爸爸用上很高兴～买手机上京东,irr
宝贝刚收到,irr
京东物流挺快,irr
末开封的正品,irr
信赖京东,irr
全新行货,irr
很好,rel
入手不错,rel
适合坐老年手机,rel
性价比很高,rel
父母用的,irr
目前用的还可以,rel
不错很好,rel
使用方便,rel
哈哈哈哈哈哈哈哈哈哈哈哈哈,irr
还不错,irr
很不错,irr
全新机,rel
红红火火红红火火,irr
给妈妈买的手机,irr
还可以,rel
好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,irr
国产苹果机,irr
用的还不错,rel
系统流畅,rel
好可以,irr
不惧风大得像狗啃的一样,irr
好吗&hellip,irr
&hellip,irr
听了一个,irr
手机运行顺畅,rel
价格实惠,rel
还可以的,irr
是正品的,irr
很好,irr
一直信任京东,irr
aaaaaa,irr
你们京东管不管,irr
我明明买的是京东自营配送,irr
结果遇到这样的商家,irr
